Comment,Designator,Footprint,LCSC
"1uF","C10","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C123716"
"22uF","C1,C2","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C123296"
"4.7uF","C3,C5","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C129235"
"0.1uF","C4,C6,C7,C9","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"10uF","C8","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C7177"
"LED_Small","D2,D3,D4","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C268283"
"WS2812B","D5","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C114586"
"1N5819","D1,D6","Diode_SMD:D_SOD-123F","C82544"
"RJ12","J1","Henrik-Connectors:RJ11-6","C77854"
"MICRO_USB_18_TH","M1","Henrik-Connectors:MICRO_USB_18_TH","C91146"
"S8050","Q1,Q2","Package_TO_SOT_SMD:SOT-23_Handsoldering","C181158"
"1k","R1,R2,R3,R4","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C131398"
"12k","R5,R6","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C140050"
"10k","R7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17902"
"AMS1117-3V3","U1","Package_TO_SOT_SMD:SOT-223","C6186"
"CP2102N-GQFN24","U2","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C1550551"
"ESP32-WROOM","U3","Henrik-ESP32:ESP32-WROOM","C82899"
"74HC04D","U4","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C86613"